Phone Number,Name,Age,Gender,Occupation,City,Marital Status
382-4657,Christopher Stephens,28,Male,Colour technologist,Medan,Married
371-7191,Daniel Ellis,41,Female,"Social research officer, government",Yogyakarta,Divorced
358-1921,Julie Ramirez,45,Male,Environmental education officer,Yogyakarta,Divorced
375-9999,Antonio Shaw,59,Female,Ship broker,Makassar,Single
330-6626,Amber Harding,55,Male,Database administrator,Semarang,Married
391-8027,Jack Wells,44,Female,Sport and exercise psychologist,Jakarta,Single
355-9993,Erin Ramirez,50,Male,Armed forces technical officer,Semarang,Single
329-9001,Barry Bates,28,Male,Educational psychologist,Jakarta,Single
335-4719,Chelsea Russell,20,Male,English as a second language teacher,Yogyakarta,Married
330-8173,Edward Castillo,23,Male,Brewing technologist,Medan,Divorced
329-6603,Rodney Johnson,30,Male,"Surveyor, hydrographic",Semarang,Married
344-9403,Samantha Wagner,44,Male,IT sales professional,Denpasar,Divorced
363-1107,David Gay,19,Female,Publishing rights manager,Bandung,Single
394-8006,Alexander Collier,31,Female,Analytical chemist,Denpasar,Married
366-9238,William Garrison,63,Female,Cartographer,Makassar,Single
351-7269,Robert Johnston,35,Female,Glass blower/designer,Denpasar,Divorced
350-8884,Julie Moore,47,Male,Chief Marketing Officer,Bandung,Single
386-2923,Kenneth Wood,26,Male,"Lecturer, higher education",Semarang,Divorced
356-2992,Kristin Walker,50,Male,Hospital pharmacist,Surabaya,Divorced
373-2782,Tiffany Mendez,20,Male,Advertising account planner,Bandung,Single
396-5800,Michael Thompson,45,Female,"Surveyor, quantity",Makassar,Single
393-7984,Christopher King,55,Female,Bonds trader,Medan,Divorced
358-1958,Christine Frederick,65,Female,Accounting technician,Medan,Divorced
350-2565,Frederick Jones,64,Female,"Psychologist, educational",Denpasar,Divorced
343-4696,Paige Spencer,29,Male,Government social research officer,Yogyakarta,Single
331-3698,David Hunter,42,Male,Make,Jakarta,Single
357-3817,Stephanie Lopez,60,Male,Furniture designer,Bandung,Married
418-6412,Tyler Sullivan,20,Male,Operations geologist,Surabaya,Married
353-2630,Tony Mcdonald,19,Male,"Engineer, production",Makassar,Single
410-7789,Bethany Mills,32,Female,Travel agency manager,Denpasar,Married
416-8428,Jimmy Cochran,53,Female,Dealer,Semarang,Divorced
370-3359,Adrienne Banks,29,Male,Graphic designer,Medan,Married
383-1121,Lindsay Fisher,39,Male,Herpetologist,Bandung,Married
360-1596,Wesley Dixon,62,Female,Passenger transport manager,Jakarta,Single
395-2854,Gerald Alvarado,51,Male,"Research officer, trade union",Yogyakarta,Married
362-1407,Sherri Long,18,Female,Facilities manager,Yogyakarta,Divorced
